Bond_length_ang,STO-5G_Energy
0.3,-0.6045273161
0.31,-0.6483692777
0.32,-0.6886260882
0.33,-0.7256318137
0.34,-0.7596817556
0.35,-0.7910378934
0.36,-0.819933431
0.37,-0.8465766157
0.38,-0.8711539652
0.39,-0.893833007
0.4,-0.9147646165
0.41,-0.9340850195
0.42,-0.951917515
0.43,-0.9683739607
0.44,-0.9835560603
0.45,-0.9975564803
0.46,-1.0104598228
0.47,-1.022343474
0.48,-1.033278348
0.49,-1.0433295387
0.5,-1.0525568938
0.51,-1.0610155216
0.52,-1.0687562388
0.53,-1.075825969
0.54,-1.0822680959
0.55,-1.0881227797
0.56,-1.0934272395
0.57,-1.0982160068
0.58,-1.1025211535
0.59,-1.1063724971
0.6,-1.1097977867
0.61,-1.1128228703
0.62,-1.1154718472
0.63,-1.1177672063
0.64,-1.1197299513
0.65,-1.1213797153
0.66,-1.1227348651
0.67,-1.123812596
0.68,-1.1246290187
0.69,-1.1251992391
0.7,-1.1255374305
0.71,-1.1256569005
0.72,-1.125570152
0.73,-1.1252889394
0.74,-1.12482432
0.75,-1.1241867014
0.76,-1.1233858852
0.77,-1.1224311074
0.78,-1.1213310754
0.79,-1.1200940025
0.8,-1.1187276395
0.81,-1.1172393044
0.82,-1.1156359095
0.83,-1.1139239871
0.84,-1.1121097125
0.85,-1.1101989267
0.86,-1.1081971565
0.87,-1.1061096333
0.88,-1.1039413117
0.89,-1.1016968855
0.9,-1.0993808035
0.91,-1.0969972841
0.92,-1.0945503291
0.93,-1.0920437363
0.94,-1.0894811114
0.95,-1.0868658796
0.96,-1.0842012959
0.97,-1.0814904549
0.98,-1.0787363004
0.99,-1.0759416336
1.0,-1.0731091217
1.01,-1.0702413054
1.02,-1.0673406057
1.03,-1.0644093312
1.04,-1.0614496839
1.05,-1.0584637652
1.06,-1.0554535815
1.07,-1.0524210492
1.08,-1.0493679996
1.09,-1.0462961832
1.1,-1.0432072742
1.11,-1.0401028742
1.12,-1.0369845158
1.13,-1.0338536665
1.14,-1.0307117312
1.15,-1.027560056
1.16,-1.0243999301
1.17,-1.0212325893
1.18,-1.0180592181
1.19,-1.0148809518
1.2,-1.0116988791
1.21,-1.0085140439
1.22,-1.0053274473
1.23,-1.0021400492
1.24,-0.9989527706
1.25,-0.9957664945
1.26,-0.992582068
1.27,-0.9894003035
1.28,-0.9862219801
1.29,-0.9830478449
1.3,-0.9798786145
1.31,-0.9767149757
1.32,-0.9735575874
1.33,-0.9704070808
1.34,-0.9672640612
1.35,-0.9641291085
1.36,-0.9610027787
1.37,-0.9578856043
1.38,-0.9547780952
1.39,-0.9516807401
1.4,-0.9485940068
1.41,-0.9455183433
1.42,-0.9424541782
1.43,-0.9394019218
1.44,-0.9363619668
1.45,-0.9333346885
1.46,-0.9303204462
1.47,-0.9273195832
1.48,-0.9243324275
1.49,-0.9213592928
1.5,-0.9184004785
1.51,-0.9154562707
1.52,-0.9125269422
1.53,-0.9096127536
1.54,-0.9067139534
1.55,-0.9038307782
1.56,-0.9009634537
1.57,-0.8981121948
1.58,-0.895277206
1.59,-0.8924586818
1.6,-0.8896568069
1.61,-0.8868717569
1.62,-0.8841036983
1.63,-0.881352789
1.64,-0.8786191783
1.65,-0.8759030078
1.66,-0.8732044107
1.67,-0.8705235131
1.68,-0.8678604335
1.69,-0.8652152833
1.7,-0.862588167
1.71,-0.8599791824
1.72,-0.8573884209
1.73,-0.8548159675
1.74,-0.852261901
1.75,-0.8497262942
1.76,-0.8472092144
1.77,-0.8447107229
1.78,-0.8422308756
1.79,-0.8397697232
1.8,-0.837327311
1.81,-0.8349036793
1.82,-0.8324988633
1.83,-0.8301128934
1.84,-0.8277457954
1.85,-0.8253975904
1.86,-0.8230682948
1.87,-0.8207579208
1.88,-0.8184664762
1.89,-0.8161939645
1.9,-0.8139403853
1.91,-0.811705734
1.92,-0.8094900018
1.93,-0.8072931766
1.94,-0.8051152419
1.95,-0.802956178
1.96,-0.8008159612
1.97,-0.7986945645
1.98,-0.7965919572
1.99,-0.7945081055
2.0,-0.792442972
2.01,-0.790396516
2.02,-0.788368694
2.03,-0.7863594589
2.04,-0.7843687609
2.05,-0.7823965471
2.06,-0.7804427616
2.07,-0.7785073458
2.08,-0.7765902383
2.09,-0.7746913748
2.1,-0.7728106885
2.11,-0.77094811
2.12,-0.7691035674
2.13,-0.7672769863
2.14,-0.7654682897
2.15,-0.7636773987
2.16,-0.7619042316
2.17,-0.760148705
2.18,-0.7584107328
2.19,-0.7566902273
2.2,-0.7549870985
2.21,-0.7533012544
2.22,-0.7516326012
2.23,-0.7499810431
2.24,-0.7483464826
2.25,-0.7467288205
2.26,-0.7451279559
2.27,-0.7435437861
2.28,-0.7419762071
2.29,-0.7404251131
2.3,-0.738890397
2.31,-0.7373719505
2.32,-0.7358696635
2.33,-0.7343834251
2.34,-0.7329131228
2.35,-0.7314586431
2.36,-0.7300198714
2.37,-0.728596692
2.38,-0.7271889881
2.39,-0.7257966421
2.4,-0.7244195355
2.41,-0.7230575487
2.42,-0.7217105617
2.43,-0.7203784535
2.44,-0.7190611023
2.45,-0.717758386
2.46,-0.7164701817
2.47,-0.7151963659
2.48,-0.7139368147
2.49,-0.7126914039
2.5,-0.7114600087
2.51,-0.7102425039
2.52,-0.7090387643
2.53,-0.7078486641
2.54,-0.7066720776
2.55,-0.7055088787
2.56,-0.7043589413
2.57,-0.7032221393
2.58,-0.7020983463
2.59,-0.7009874361
2.6,-0.6998892825
2.61,-0.6988037596
2.62,-0.6977307411
2.63,-0.6966701015
2.64,-0.6956217149
