Bond_length_ang,STO-3G_Energy
0.5,-2.631665041
0.51,-2.6491667798
0.52,-2.6654387493
0.53,-2.6805656951
0.54,-2.6946260042
0.55,-2.707692261
0.56,-2.7198317419
0.57,-2.7311068583
0.58,-2.7415755533
0.59,-2.7512916593
0.6,-2.7603052207
0.61,-2.7686627855
0.62,-2.7764076715
0.63,-2.7835802081
0.64,-2.7902179574
0.65,-2.7963559171
0.66,-2.8020267071
0.67,-2.8072607408
0.68,-2.8120863838
0.69,-2.8165301
0.7,-2.8206165875
0.71,-2.824368904
0.72,-2.8278085832
0.73,-2.8309557436
0.74,-2.8338291896
0.75,-2.8364464994
0.76,-2.8388241204
0.77,-2.8409774433
0.78,-2.8429208789
0.79,-2.8446679268
0.8,-2.8462312398
0.81,-2.8476226834
0.82,-2.8488533904
0.83,-2.8499338124
0.84,-2.8508737664
0.85,-2.8516824783
0.86,-2.8523686232
0.87,-2.8529403619
0.88,-2.8534053754
0.89,-2.8537708962
0.9,-2.8540437371
0.91,-2.8542303177
0.92,-2.8543366893
0.93,-2.8543685572
0.94,-2.8543313017
0.95,-2.8542299973
0.96,-2.8540694306
0.97,-2.8538541163
0.98,-2.8535883151
0.99,-2.8532760397
1.0,-2.8529210793
1.01,-2.8525270045
1.02,-2.8520971808
1.03,-2.8516347789
1.04,-2.8511427851
1.05,-2.8506240109
1.06,-2.8500811014
1.07,-2.8495165443
1.08,-2.8489326775
1.09,-2.848331697
1.1,-2.8477156638
1.11,-2.8470865112
1.12,-2.8464460508
1.13,-2.8457959791
1.14,-2.8451378835
1.15,-2.8444732477
1.16,-2.8438034575
1.17,-2.8431298081
1.18,-2.8424535
1.19,-2.8417756572
1.2,-2.8410973231
1.21,-2.8404194666
1.22,-2.8397429867
1.23,-2.8390687163
1.24,-2.8383974258
1.25,-2.837729827
1.26,-2.837066576
1.27,-2.836408277
1.28,-2.8357554852
1.29,-2.8351087094
1.3,-2.8344684152
1.31,-2.8338350273
1.32,-2.8332089321
1.33,-2.83259048
1.34,-2.8319799905
