Bond_length_ang,STO-6G_Energy
0.3,-0.6052559296
0.31,-0.6490834989
0.32,-0.6893286139
0.33,-0.7263249605
0.34,-0.7603674237
0.35,-0.7917175733
0.36,-0.8206082397
0.37,-0.8472473494
0.38,-0.8718211591
0.39,-0.8944969955
0.4,-0.9154255876
0.41,-0.934743061
0.42,-0.9525726511
0.43,-0.9690261802
0.44,-0.984205335
0.45,-0.9982027773
0.46,-1.0111031107
0.47,-1.0229837258
0.48,-1.0339155405
0.49,-1.0439636514
0.5,-1.0531879069
0.51,-1.0616434139
0.52,-1.0693809868
0.53,-1.0764475456
0.54,-1.0828864707
0.55,-1.0887379194
0.56,-1.0940391087
0.57,-1.0988245692
0.58,-1.1031263729
0.59,-1.1069743385
0.6,-1.1103962169
0.61,-1.1134178584
0.62,-1.1160633648
0.63,-1.1183552273
0.64,-1.1203144512
0.65,-1.1219606709
0.66,-1.1233122534
0.67,-1.1243863936
0.68,-1.1251992011
0.69,-1.12576578
0.7,-1.1261003017
0.71,-1.1262160719
0.72,-1.1261255918
0.73,-1.1258406147
0.74,-1.1253721976
0.75,-1.1247307494
0.76,-1.1239260745
0.77,-1.1229674132
0.78,-1.1218634793
0.79,-1.1206224944
0.8,-1.1192522199
0.81,-1.1177599862
0.82,-1.1161527202
0.83,-1.1144369704
0.84,-1.1126189302
0.85,-1.1107044598
0.86,-1.1086991066
0.87,-1.1066081234
0.88,-1.1044364865
0.89,-1.1021889116
0.9,-1.0998698693
0.91,-1.0974835994
0.92,-1.0950341239
0.93,-1.0925252597
0.94,-1.0899606303
0.95,-1.0873436766
0.96,-1.0846776675
0.97,-1.0819657092
0.98,-1.0792107546
0.99,-1.0764156116
1.0,-1.0735829513
1.01,-1.0707153154
1.02,-1.0678151237
1.03,-1.06488468
1.04,-1.0619261795
1.05,-1.0589417137
1.06,-1.0559332766
1.07,-1.0529027699
1.08,-1.0498520079
1.09,-1.0467827219
1.1,-1.0436965651
1.11,-1.0405951163
1.12,-1.0374798841
1.13,-1.0343523105
1.14,-1.0312137741
1.15,-1.0280655938
1.16,-1.0249090315
1.17,-1.0217452952
1.18,-1.0185755414
1.19,-1.0154008782
1.2,-1.0122223672
1.21,-1.0090410259
1.22,-1.0058578302
1.23,-1.0026737156
1.24,-0.9994895801
1.25,-0.9963062851
1.26,-0.9931246576
1.27,-0.9899454917
1.28,-0.9867695497
1.29,-0.9835975641
1.3,-0.9804302387
1.31,-0.9772682495
1.32,-0.9741122463
1.33,-0.9709628538
1.34,-0.9678206722
1.35,-0.9646862788
1.36,-0.9615602286
1.37,-0.9584430549
1.38,-0.9553352707
1.39,-0.9522373693
1.4,-0.9491498247
1.41,-0.9460730927
1.42,-0.9430076113
1.43,-0.9399538018
1.44,-0.9369120686
1.45,-0.9338828003
1.46,-0.9308663704
1.47,-0.9278631373
1.48,-0.924873445
1.49,-0.9218976236
1.5,-0.9189359898
1.51,-0.9159888471
1.52,-0.9130564864
1.53,-0.9101391861
1.54,-0.9072372129
