Bond_length_ang,STO-4G_Energy
0.3,-0.6018266906
0.31,-0.6457024318
0.32,-0.686000187
0.33,-0.7230521935
0.34,-0.7571519365
0.35,-0.7885596932
0.36,-0.8175071519
0.37,-0.844201279
0.38,-0.8688275697
0.39,-0.8915527932
0.4,-0.9125273191
0.41,-0.9318870983
0.42,-0.949755355
0.43,-0.966244038
0.44,-0.9814550713
0.45,-0.9954814352
0.46,-1.0084081057
0.47,-1.0203128737
0.48,-1.031267063
0.49,-1.0413361611
0.5,-1.050580378
0.51,-1.0590551406
0.52,-1.0668115338
0.53,-1.0738966945
0.54,-1.0803541648
0.55,-1.0862242098
0.56,-1.091544104
0.57,-1.0963483898
0.58,-1.1006691119
0.59,-1.1045360292
0.6,-1.1079768073
0.61,-1.1110171929
0.62,-1.1136811726
0.63,-1.1159911169
0.64,-1.1179679107
0.65,-1.1196310724
0.66,-1.1209988619
0.67,-1.1220883786
0.68,-1.1229156503
0.69,-1.1234957147
0.7,-1.1238426927
0.71,-1.1239698556
0.72,-1.1238896862
0.73,-1.123613934
0.74,-1.1231536665
0.75,-1.1225193153
0.76,-1.1217207183
0.77,-1.1207671593
0.78,-1.1196674031
0.79,-1.1184297287
0.8,-1.1170619594
0.81,-1.1155714914
0.82,-1.1139653192
0.83,-1.11225006
0.84,-1.1104319761
0.85,-1.1085169959
0.86,-1.106510733
0.87,-1.1044185051
0.88,-1.1022453506
0.89,-1.0999960448
0.9,-1.0976751146
0.91,-1.0952868532
0.92,-1.0928353329
0.93,-1.0903244176
0.94,-1.0877577746
0.95,-1.0851388858
0.96,-1.0824710578
0.97,-1.0797574316
0.98,-1.0770009923
0.99,-1.0742045772
1.0,-1.0713708841
1.01,-1.0685024792
1.02,-1.0656018038
1.03,-1.0626711818
1.04,-1.0597128253
1.05,-1.0567288411
1.06,-1.0537212359
1.07,-1.0506919223
1.08,-1.047642723
1.09,-1.044575376
1.1,-1.0414915386
1.11,-1.038392792
1.12,-1.0352806449
1.13,-1.0321565372
1.14,-1.0290218434
1.15,-1.0258778762
1.16,-1.0227258892
1.17,-1.0195670798
1.18,-1.0164025922
1.19,-1.0132335199
1.2,-1.0100609079
1.21,-1.0068857555
1.22,-1.0037090179
1.23,-1.0005316088
1.24,-0.9973544021
1.25,-0.9941782338
1.26,-0.9910039038
1.27,-0.9878321777
1.28,-0.9846637883
1.29,-0.9814994369
1.3,-0.9783397955
1.31,-0.9751855073
1.32,-0.9720371886
1.33,-0.96889543
1.34,-0.9657607974
1.35,-0.9626338332
1.36,-0.9595150576
1.37,-0.9564049697
1.38,-0.9533040479
1.39,-0.9502127516
1.4,-0.9471315217
1.41,-0.9440607816
1.42,-0.9410009379
1.43,-0.9379523812
1.44,-0.934915487
1.45,-0.9318906162
1.46,-0.9288781161
1.47,-0.9258783204
1.48,-0.9228915505
1.49,-0.9199181155
1.5,-0.916958313
1.51,-0.9140124297
